City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Praya,CV,84.74,few clouds,14.9215,-23.5087,LT Aparthotel
6,Urumqi,CN,74.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
7,Lagoa,PT,73.71,broken clouds,39.05,-27.9833,Casa Das Faias
10,Fomboni,KM,77.52,clear sky,-12.28,43.7425,Auberge les abou
12,Rikitea,PF,74.08,clear sky,-23.1203,-134.9692,People ThankYou
13,Pacific Grove,US,86.81,clear sky,36.6177,-121.9166,Lovers Point Inn
17,Chute-Aux-Outardes,CA,88.11,clear sky,49.1168,-68.399,Camp St-Paul Gite Plein-Air
18,Jamestown,US,83.52,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
19,Carballo,ES,80.76,few clouds,43.213,-8.691,Pazo do Souto
23,Magole,TZ,72.88,scattered clouds,-6.3667,37.3667,Juma lubelwa
24,Hilo,US,78.12,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
27,Mandera,KE,87.33,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
30,Kapoeta,SS,73.72,broken clouds,4.7717,33.5903,Eastgate Hotel
36,Panama City,PA,79.43,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
41,Atuona,PF,77.29,clear sky,-9.8,-139.0333,Villa Enata
44,Biltine,TD,75.18,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
46,Fukue,JP,77.95,heavy intensity rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
55,Miguel Hidalgo,MX,71.53,few clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
57,Bodden Town,KY,89.01,scattered clouds,19.2833,-81.25,Will T Place
62,Paciran,ID,76.55,clear sky,-6.8767,112.3761,Tanjung Kodok Beach Resort
64,Tiarei,PF,80.62,overcast clouds,-17.5333,-149.3333,Le Rocher de Tahiti
67,Kavieng,PG,81.1,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
70,Ribeira Grande,PT,75.6,broken clouds,38.5167,-28.7,Quinta da Meia Eira
79,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
80,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
81,Sao Filipe,CV,77.77,few clouds,14.8961,-24.4956,Hotel Xaguate
85,Hirara,JP,82.0,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
86,Dapaong,TG,73.99,overcast clouds,10.8639,0.205,Hotel Caroli
89,Bereda,ES,74.41,clear sky,43.2686,-7.5406,Pazo de Verdes
90,Meadow Lake,US,87.82,overcast clouds,34.8014,-106.5436,TumbleWeed RV Park
95,Larap,PH,78.4,clear sky,14.299,122.6504,Montemayor Cove
