City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descrition
0,Rikitea,PF,-23.1203,-134.9692,70.74,67,2,13.91,clear sky
1,Songjianghe,CN,42.1859,127.479,72.72,74,94,3.56,overcast clouds
2,Avarua,CK,-21.2078,-159.775,77.05,78,75,2.3,broken clouds
3,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.82,88,12,15.61,few clouds
4,Aklavik,CA,68.2191,-135.0107,50.83,81,100,3.47,overcast clouds
5,Kodiak,US,57.79,-152.4072,54.93,78,100,1.23,overcast clouds
6,Waingapu,ID,-9.6567,120.2641,87.21,55,6,16.49,clear sky
7,Vila Do Maio,CV,15.1333,-23.2167,77.79,76,99,8.9,overcast clouds
8,Vaini,TO,-21.2,-175.2,68.16,77,90,10.36,overcast clouds
9,Upernavik,GL,72.7868,-56.1549,44.29,77,100,6.26,overcast clouds
10,Lasa,IT,46.6166,10.7002,59.02,83,4,4.03,clear sky
11,Jamestown,US,42.097,-79.2353,76.59,91,90,4.0,overcast clouds
12,Amurzet,RU,47.6967,131.0981,70.41,42,68,9.55,broken clouds
13,Albany,US,42.6001,-73.9662,76.53,86,83,5.06,broken clouds
14,Port Alfred,ZA,-33.5906,26.891,56.19,41,0,8.66,clear sky
15,Saint-Philippe,RE,-21.3585,55.7679,72.1,82,18,7.81,few clouds
16,Ushuaia,AR,-54.8,-68.3,35.26,64,40,11.5,scattered clouds
17,Portland,US,45.5234,-122.6762,84.13,44,20,3.0,smoke
18,Ust-Tsilma,RU,65.441,52.1498,60.67,64,100,5.7,overcast clouds
19,Adrar,MR,20.5022,-10.0711,83.68,18,4,14.03,clear sky
20,Puerto Ayora,EC,-0.7393,-90.3518,69.55,90,88,5.01,overcast clouds
21,Chabahar,IR,25.2919,60.643,82.27,77,11,13.56,few clouds
22,New Norfolk,AU,-42.7826,147.0587,58.5,70,100,4.0,light rain
23,Saint-Georges,GD,12.0564,-61.7485,82.08,83,20,13.8,few clouds
24,Severo-Kurilsk,RU,50.6789,156.125,57.79,70,0,7.92,clear sky
25,Ashta,IN,23.0167,76.7167,78.76,80,51,12.1,broken clouds
26,Cape Town,ZA,-33.9258,18.4232,49.12,93,75,1.14,mist
27,Hermanus,ZA,-34.4187,19.2345,48.9,73,0,2.37,clear sky
28,Saldanha,ZA,-33.0117,17.9442,42.85,76,0,13.76,clear sky
29,San Juan,AR,-31.5375,-68.5364,49.06,42,0,2.35,clear sky
30,Tiksi,RU,71.6872,128.8694,64.67,74,98,16.2,light rain
31,Bluff,NZ,-46.6,168.3333,57.79,78,61,12.82,broken clouds
32,Kahului,US,20.8947,-156.47,80.62,83,75,19.57,light rain
33,Norman Wells,CA,65.282,-126.8329,53.64,94,75,3.44,broken clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,88,0,12.66,clear sky
35,Paranaiba,BR,-19.6772,-51.1908,71.62,30,6,3.4,clear sky
36,Litovko,RU,49.2361,135.1742,69.49,53,6,6.96,clear sky
37,Thompson,CA,55.7435,-97.8558,55.56,94,20,10.36,few clouds
38,Ayan,RU,56.45,138.1667,62.74,72,46,13.96,scattered clouds
39,Alice Springs,AU,-23.7,133.8833,80.15,12,0,14.97,clear sky
40,Busselton,AU,-33.65,115.3333,60.04,65,91,12.68,overcast clouds
41,Mount Gambier,AU,-37.8333,140.7667,53.51,76,40,18.41,light rain
42,San Carlos De Bariloche,AR,-41.1456,-71.3082,33.55,47,0,6.91,clear sky
43,Shafter,US,35.5005,-119.2718,93.67,21,0,11.12,clear sky
44,Porbandar,IN,21.6422,69.6093,82.36,72,100,14.9,overcast clouds
45,Rabo De Peixe,PT,37.8,-25.5833,71.11,94,40,8.05,scattered clouds
46,Palmeira Das Missoes,BR,-27.8994,-53.3136,49.89,96,99,8.68,overcast clouds
47,Castro,BR,-24.7911,-50.0119,59.41,62,100,2.68,overcast clouds
48,Hobart,AU,-42.8794,147.3294,58.86,65,75,8.01,light rain
49,Serrinha,BR,-11.6642,-39.0075,61.23,96,7,4.85,clear sky
50,Mopti,ML,14.6667,-4.0,79.0,73,99,2.59,overcast clouds
51,Nikolskoye,RU,59.7035,30.7861,61.02,80,74,1.23,broken clouds
52,Awjilah,LY,29.1081,21.2869,80.69,43,0,6.93,clear sky
53,Faya,SA,18.3851,42.4509,66.72,51,21,3.67,few clouds
54,Butaritari,KI,3.0707,172.7902,83.25,68,5,10.54,clear sky
55,Faanui,PF,-16.4833,-151.75,79.09,71,13,13.29,few clouds
56,Nuuk,GL,64.1835,-51.7216,45.21,93,90,11.5,overcast clouds
57,Sabzevar,IR,36.2126,57.6819,79.88,29,0,9.22,clear sky
58,Quatre Cocos,MU,-20.2078,57.7625,71.1,80,77,5.23,broken clouds
59,Port Elizabeth,ZA,-33.918,25.5701,43.09,75,0,2.3,clear sky
60,Axim,GH,4.8699,-2.2405,75.49,87,43,8.19,scattered clouds
61,Punta Arenas,CL,-53.15,-70.9167,36.93,74,73,8.43,broken clouds
62,Rondonopolis,BR,-16.4708,-54.6356,73.62,37,48,1.21,scattered clouds
63,Hay River,CA,60.8156,-115.7999,57.18,67,75,3.44,broken clouds
64,Mwingi,KE,-0.9344,38.0601,63.73,79,99,5.99,overcast clouds
65,La Ronge,CA,55.1001,-105.2842,57.45,67,75,10.36,broken clouds
66,Mataura,NZ,-46.1927,168.8643,57.47,71,96,7.07,overcast clouds
67,Saskylakh,RU,71.9167,114.0833,67.75,52,92,10.02,overcast clouds
68,Bengkulu,ID,-3.8004,102.2655,83.89,68,47,5.01,scattered clouds
69,Khorixas,NA,-20.3667,14.9667,55.65,45,4,3.02,clear sky
70,Dabola,GN,10.75,-11.1167,69.91,96,100,2.84,light rain
71,Ribeira Grande,PT,38.5167,-28.7,72.09,88,53,10.27,broken clouds
72,Savantvadi,IN,15.9,73.8167,80.71,74,96,5.23,overcast clouds
73,Broome,US,42.2506,-75.833,75.58,82,1,8.05,clear sky
74,Inirida,CO,3.8653,-67.9239,72.52,98,63,1.99,broken clouds
75,Weligama,LK,5.9667,80.4167,81.3,80,96,12.17,overcast clouds
76,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,92,13,3.11,few clouds
77,Carnarvon,AU,-24.8667,113.6333,68.07,38,0,17.27,clear sky
78,Dikson,RU,73.5069,80.5464,40.05,93,100,19.91,light rain
79,Cidreira,BR,-30.1811,-50.2056,54.21,84,100,9.64,overcast clouds
80,Derazhnya,UA,49.2692,27.4338,62.47,73,0,2.51,clear sky
81,Zavetnoye,RU,47.1194,43.8903,82.36,39,4,4.34,clear sky
82,Poum,NC,-20.2333,164.0167,72.32,57,52,24.16,broken clouds
83,Wajir,KE,1.7471,40.0573,71.85,66,32,13.04,scattered clouds
84,Isangel,VU,-19.55,169.2667,73.51,64,75,6.91,broken clouds
85,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,96,0,2.3,clear sky
86,Khatanga,RU,71.9667,102.5,52.66,66,100,18.23,overcast clouds
87,Aasiaat,GL,68.7098,-52.8699,40.37,91,100,10.47,overcast clouds
88,Hilo,US,19.7297,-155.09,78.53,88,90,4.61,moderate rain
89,Ahuimanu,US,21.4447,-157.8378,83.91,71,75,9.22,broken clouds
90,Diu,IN,20.7141,70.9822,83.12,71,100,13.91,overcast clouds
91,Abakaliki,NG,6.3163,8.1169,72.43,97,99,5.28,light rain
92,Atuona,PF,-9.8,-139.0333,77.49,78,21,22.53,light rain
93,Honningsvag,NO,70.9821,25.9704,58.75,88,75,8.05,light rain
94,Barrow,US,71.2906,-156.7887,37.42,76,90,9.22,overcast clouds
95,Lebu,CL,-37.6167,-73.65,44.33,83,2,16.46,clear sky
96,Svetlogorsk,BY,52.6333,29.7333,61.95,73,2,2.91,clear sky
97,Talakan,RU,50.3167,130.3667,73.35,45,100,5.03,overcast clouds
98,Urucui,BR,-7.2294,-44.5561,76.68,48,2,3.65,clear sky
99,Ancud,CL,-41.8697,-73.8203,44.22,91,9,5.41,clear sky
100,Bethel,US,41.3712,-73.414,75.56,89,75,3.44,broken clouds
101,Racine,US,42.7495,-88.0751,71.13,94,12,0.0,few clouds
102,Yellowknife,CA,62.456,-114.3525,54.12,76,90,4.61,overcast clouds
103,East London,ZA,-33.0153,27.9116,47.34,61,0,9.22,clear sky
104,Tynda,RU,55.1667,124.7167,71.46,52,13,0.94,few clouds
105,Bredasdorp,ZA,-34.5322,20.0403,36.72,93,0,4.61,clear sky
106,Saint George,US,37.1041,-113.5841,92.95,21,1,1.99,clear sky
107,Roma,US,43.2128,-75.4557,77.83,89,91,4.0,overcast clouds
108,Sarangani,PH,5.4033,125.4636,84.27,74,65,12.97,broken clouds
109,Fortuna,US,40.5982,-124.1573,74.43,89,75,0.0,broken clouds
110,Bambous Virieux,MU,-20.3428,57.7575,71.22,94,75,5.75,broken clouds
111,Batagay-Alyta,RU,67.8006,130.4114,78.15,35,99,10.13,overcast clouds
112,Rocha,UY,-34.4833,-54.3333,43.41,71,85,6.98,overcast clouds
113,Hobyo,SO,5.3505,48.5268,76.87,83,97,20.33,overcast clouds
114,Bud,US,39.447,-86.1758,80.58,78,69,8.97,broken clouds
115,Cayambe,EC,0.05,-78.1333,47.46,87,100,5.91,overcast clouds
116,Prince Rupert,CA,54.3161,-130.3201,58.69,94,90,0.0,overcast clouds
117,Manchester,GB,53.4809,-2.2374,57.99,90,20,3.44,few clouds
118,Sabang,ID,5.8933,95.3214,78.85,86,99,25.66,overcast clouds
119,Redding,US,40.5865,-122.3917,91.69,30,90,1.01,smoke
120,Gizo,SB,-8.103,156.8419,83.12,74,10,7.29,moderate rain
121,Souillac,MU,-20.5167,57.5167,71.37,94,75,5.75,broken clouds
122,Zambezi,ZM,-13.5432,23.1047,54.77,27,0,8.37,clear sky
123,Muyezerskiy,RU,63.9333,31.65,58.96,82,11,5.26,few clouds
124,Doka,SD,13.5167,35.7667,69.91,97,93,9.13,overcast clouds
125,Lavrentiya,RU,65.5833,-171.0,45.0,72,99,6.22,overcast clouds
126,Georgetown,MY,5.4112,100.3354,85.89,78,20,5.75,few clouds
127,Kapaa,US,22.0752,-159.319,82.72,72,40,1.01,scattered clouds
128,Ahipara,NZ,-35.1667,173.1667,57.22,74,20,9.98,few clouds
129,Diego De Almagro,CL,-26.3667,-70.05,52.36,52,0,0.36,clear sky
130,Longyearbyen,SJ,78.2186,15.6401,49.59,72,19,1.97,few clouds
131,Bokoro,TD,12.3807,17.0568,75.11,89,99,3.4,overcast clouds
132,Oblivskaya,RU,48.5362,42.5014,77.05,58,65,3.44,broken clouds
133,Chapais,CA,49.7834,-74.8492,67.78,95,100,8.68,overcast clouds
134,Ilulissat,GL,69.2167,-51.1,44.62,93,90,4.61,light rain
135,Quelimane,MZ,-17.8786,36.8883,60.75,94,40,3.44,scattered clouds
136,Constitucion,CL,-35.3333,-72.4167,46.65,62,0,6.33,clear sky
137,Oriximina,BR,-1.7656,-55.8661,79.56,58,39,3.78,scattered clouds
138,Auxerre,FR,47.8,3.5667,55.63,86,2,0.65,clear sky
139,Penha,BR,-26.7694,-48.6458,61.56,91,100,10.6,overcast clouds
140,Henties Bay,NA,-22.116,14.2845,56.86,94,31,7.67,scattered clouds
141,Lensk,RU,60.7253,114.9278,76.69,42,68,2.26,broken clouds
142,Tasiilaq,GL,65.6145,-37.6368,42.96,87,97,5.28,overcast clouds
143,Santa Fe,AR,-31.6333,-60.7,46.0,67,0,1.01,clear sky
144,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,71,75,8.05,broken clouds
145,Esso,RU,55.9333,158.7,65.55,50,24,8.03,few clouds
146,Murray Bridge,AU,-35.1167,139.2667,59.31,72,91,20.87,light rain
147,Odweyne,SO,9.4092,45.064,71.01,63,42,17.96,scattered clouds
148,Mayumba,GA,-3.432,10.6554,74.25,89,93,2.44,overcast clouds
149,Xining,CN,36.6167,101.7667,68.88,42,97,7.36,overcast clouds
150,Victoria,HK,22.2855,114.1577,89.96,77,94,9.13,overcast clouds
151,Eureka,US,40.8021,-124.1637,74.68,84,32,2.55,scattered clouds
152,Farmington,US,36.7281,-108.2187,75.88,38,1,8.05,clear sky
153,Tashtagol,RU,52.7657,87.8894,64.89,76,96,0.78,overcast clouds
154,Kasongo-Lunda,CD,-6.4667,16.8167,67.14,70,1,1.23,clear sky
155,Cherskiy,RU,68.75,161.3,59.25,49,61,6.2,broken clouds
156,Marienburg,PL,54.0359,19.0266,60.85,92,99,7.54,overcast clouds
157,Iquitos,PE,-3.7481,-73.2472,77.04,88,75,4.61,broken clouds
158,San Patricio,US,28.017,-97.5169,84.85,72,0,12.24,clear sky
159,Zyryanka,RU,65.75,150.85,80.1,29,7,8.01,clear sky
160,El Oro,MX,26.8667,-105.85,69.94,44,67,7.7,broken clouds
161,Iskateley,RU,67.6803,53.1512,60.42,62,100,12.39,overcast clouds
162,Qaanaaq,GL,77.484,-69.3632,43.79,76,100,10.2,overcast clouds
163,Mar Del Plata,AR,-38.0023,-57.5575,33.82,80,0,9.22,clear sky
164,Bouna,CI,9.2667,-3.0,69.4,99,92,4.9,moderate rain
165,Deer Lake,CA,49.1667,-57.4316,66.06,82,75,10.36,broken clouds
166,Hearst,CA,49.6835,-83.6665,71.85,88,100,7.65,overcast clouds
167,Dalby,AU,-27.1833,151.2667,68.7,44,37,15.37,scattered clouds
168,Provideniya,RU,64.3833,-173.3,48.31,66,75,6.71,broken clouds
169,Macenta,GN,8.5435,-9.471,68.4,100,100,1.16,overcast clouds
170,Surgut,RU,61.25,73.4167,55.58,67,40,13.42,scattered clouds
171,Kaitangata,NZ,-46.2817,169.8464,57.18,67,89,6.29,overcast clouds
172,Dingle,PH,10.9995,122.6711,88.0,60,79,5.41,broken clouds
173,Oktyabrskoye,RU,43.0645,44.7417,69.94,83,66,6.71,broken clouds
174,Mastic Beach,US,40.7668,-72.8521,75.38,89,1,1.01,clear sky
175,Tautira,PF,-17.7333,-149.15,78.82,81,72,16.89,light rain
176,Eyl,SO,7.9803,49.8164,77.09,71,65,19.69,broken clouds
177,Laguna,US,38.421,-121.4238,93.04,31,1,6.91,clear sky
178,Dolores,AR,-36.3132,-57.6792,36.14,76,0,7.02,light rain
179,Olafsvik,IS,64.8945,-23.7142,54.37,83,94,8.63,overcast clouds
180,Asau,RO,46.4333,26.4,63.95,75,58,4.34,broken clouds
181,Cabo San Lucas,MX,22.8909,-109.9124,84.06,84,100,11.27,overcast clouds
182,Hofn,IS,64.2539,-15.2082,50.05,86,16,9.82,few clouds
183,Obihiro,JP,42.9172,143.2044,69.21,64,91,7.05,overcast clouds
184,Pochutla,MX,15.7432,-96.4661,78.82,92,100,3.83,overcast clouds
185,Komsomolskiy,UZ,40.4272,71.7189,83.12,26,0,4.61,clear sky
186,Capiibary,PY,-24.8,-56.0333,53.2,88,100,5.3,overcast clouds
187,Vila,PT,42.0304,-8.1588,56.34,89,0,3.13,clear sky
188,Puerto Madryn,AR,-42.7692,-65.0385,42.85,72,2,11.99,clear sky
189,Kyaukse,MM,21.6,96.1333,89.6,66,75,9.22,broken clouds
190,Ban Nahin,LA,18.2418,104.2122,84.92,81,100,3.78,moderate rain
191,Braganca,BR,-1.0536,-46.7656,73.94,97,70,1.45,broken clouds
192,Kurilsk,RU,45.2333,147.8833,54.39,83,100,20.76,light rain
193,Yerbogachen,RU,61.2767,108.0108,73.29,46,70,2.8,broken clouds
194,Kysyl-Syr,RU,63.8986,122.7617,60.82,94,100,3.78,light rain
195,Yaan,NG,7.3833,8.5667,70.56,98,94,5.61,overcast clouds
196,Erenhot,CN,43.6475,111.9767,76.01,27,1,2.93,clear sky
197,Geraldton,AU,-28.7667,114.6,63.01,59,75,8.05,broken clouds
198,Karagay,RU,58.2667,54.9368,60.33,65,0,4.83,clear sky
199,Tual,ID,-5.6667,132.75,80.37,83,94,19.37,overcast clouds
200,Itupiranga,BR,-5.1347,-49.3267,71.92,50,0,1.25,clear sky
201,Ternuvate,UA,47.8305,36.1276,67.48,69,99,3.11,overcast clouds
202,Mabaruma,GY,8.2,-59.7833,74.03,99,23,2.75,few clouds
203,Russell,US,32.3502,-85.1999,75.38,96,78,3.67,broken clouds
204,Irbil,IQ,36.1926,44.0106,88.83,25,0,0.56,clear sky
205,Kavaratti,IN,10.5669,72.642,81.73,79,100,20.2,moderate rain
206,Ardabil,IR,38.2498,48.2933,69.35,32,40,6.91,scattered clouds
207,Lyaskelya,RU,61.7667,31.0167,57.9,84,98,1.12,overcast clouds
208,Te Anau,NZ,-45.4167,167.7167,47.14,96,100,5.97,overcast clouds
209,Pachino,IT,36.7186,15.0907,91.6,42,0,10.07,clear sky
210,Luba,GQ,3.4568,8.5547,76.89,86,42,8.12,light rain
211,Brae,GB,60.3964,-1.353,53.51,88,99,6.04,overcast clouds
212,Tatarsk,RU,55.219,75.9828,62.11,94,100,2.1,light rain
213,Ponta Do Sol,PT,32.6667,-17.1,73.0,83,26,3.49,scattered clouds
214,Port-Cartier,CA,50.0334,-66.8654,61.02,99,100,1.23,overcast clouds
215,Cabatuan,PH,10.8794,122.486,87.57,60,60,5.61,broken clouds
216,Forio,IT,40.7342,13.8646,85.44,71,15,6.53,few clouds
217,Shingu,JP,33.7333,135.9833,83.39,67,100,9.91,light rain
218,Talnakh,RU,69.4865,88.3972,45.73,84,100,6.4,overcast clouds
219,Suntar,RU,62.1444,117.6319,75.45,43,84,3.09,broken clouds
220,Lagoa,PT,39.05,-27.9833,71.55,84,100,14.41,overcast clouds
221,Oak Ridge,US,36.0104,-84.2696,76.01,84,93,2.55,overcast clouds
222,Megion,RU,61.0296,76.1136,55.42,59,75,18.52,broken clouds
223,Lorengau,PG,-2.0226,147.2712,85.8,64,55,8.68,broken clouds
224,Wahiawa,US,21.5028,-158.0236,80.92,75,93,6.29,overcast clouds
225,Naze,JP,28.3667,129.4833,83.32,83,97,16.53,overcast clouds
226,Saint Anthony,US,45.0205,-93.218,74.82,72,1,3.44,clear sky
227,Nouadhibou,MR,20.931,-17.0347,68.68,80,6,21.03,clear sky
228,Elk City,US,35.412,-99.4043,86.49,54,1,6.91,clear sky
229,Tura,IN,25.5198,90.2201,78.46,94,100,5.88,moderate rain
230,Ampanihy,MG,-24.7,44.75,59.85,88,3,7.85,clear sky
231,Kilindoni,TZ,-7.9139,39.6668,75.96,70,0,17.67,clear sky
232,Cedar City,US,37.6775,-113.0619,74.37,26,1,8.05,clear sky
233,Port Hedland,AU,-20.3167,118.5667,77.05,19,0,17.27,clear sky
234,Namatanai,PG,-3.6667,152.4333,85.05,63,18,5.06,few clouds
235,Primo Tapia,MX,32.22,-116.9172,75.51,80,23,3.71,few clouds
236,Sitka,US,57.0531,-135.33,57.09,88,90,11.5,light rain
237,Ulladulla,AU,-35.35,150.4667,79.88,42,0,11.45,clear sky
238,Esperance,AU,-33.8667,121.9,58.84,67,63,16.71,broken clouds
239,Nome,US,64.5011,-165.4064,53.67,63,90,12.66,overcast clouds
240,Ushtobe,KZ,45.2514,77.9838,83.07,26,90,4.65,overcast clouds
241,Tezu,IN,27.9167,96.1667,87.24,73,99,2.28,overcast clouds
242,Mahanoro,MG,-19.9,48.8,65.44,86,42,5.35,light rain
243,Grand Gaube,MU,-20.0064,57.6608,71.38,89,67,4.0,broken clouds
244,Gobabis,NA,-22.45,18.9667,52.79,29,49,12.37,scattered clouds
245,Inndyr,NO,67.0338,14.0276,54.64,97,99,8.16,overcast clouds
246,Caravelas,BR,-17.7125,-39.2481,66.88,89,1,3.53,clear sky
247,Balkhash,KZ,46.844,74.9804,79.41,31,84,4.47,smoke
248,Noumea,NC,-22.2763,166.4572,71.58,60,80,15.86,broken clouds
249,Port Hardy,CA,50.6996,-127.4199,60.98,88,20,4.61,fog
250,Tuatapere,NZ,-46.1333,167.6833,57.81,88,97,7.11,overcast clouds
